grade,region_group,task_id,score
9,MO,9.7.1,2.0
9,MO,Теор,35.0
9,MO,Прак,26.0
9,MO,Блиц,23.0
9,Rest,№,17.0
9,Rest,9.1,4.0
9,Rest,9.2,8.0
9,Rest,9.3,2.0
9,Rest,9.4,9.0
9,Rest,9.5,3.0
9,Rest,9.6,10.0
9,Rest,9.7,15.0
9,Rest,9.8,6.0
9,Rest,9.1.1,3.0
9,Rest,9.2.1,5.0
9,Rest,9.3.1,0.0
9,Rest,9.4.1,5.0
9,Rest,9.5.1,3.0
9,Rest,9.6.1,5.0
9,Rest,9.7.1,5.0
9,Rest,Теор,36.0
9,Rest,Прак,21.0
9,Rest,Блиц,26.0
9,MO,№,18.0
9,MO,9.1,1.0
9,MO,9.2,6.0
9,MO,9.3,4.0
9,MO,9.4,8.0
9,MO,9.5,9.0
9,MO,9.6,4.0
9,MO,9.7,14.0
9,MO,9.8,13.0
9,MO,9.1.1,4.0
9,MO,9.2.1,1.0
9,MO,9.3.1,5.0
9,MO,9.4.1,2.0
9,MO,9.5.1,5.0
9,MO,9.6.1,4.0
9,MO,9.7.1,0.0
9,MO,Теор,32.0
9,MO,Прак,27.0
9,MO,Блиц,21.0
9,MO,№,19.0
9,MO,9.1,1.0
9,MO,9.2,0.0
9,MO,9.3,2.0
9,MO,9.4,8.0
9,MO,9.5,8.0
9,MO,9.6,9.0
9,MO,9.7,14.0
9,MO,9.8,14.0
9,MO,9.1.1,2.0
9,MO,9.2.1,4.0
9,MO,9.3.1,1.0
9,MO,9.4.1,2.0
9,MO,9.5.1,3.0
9,MO,9.6.1,5.0
9,MO,9.7.1,2.0
9,MO,Теор,28.0
9,MO,Прак,28.0
9,MO,Блиц,19.0
9,Rest,№,20.0
9,Rest,9.1,2.0
9,Rest,9.2,6.0
9,Rest,9.3,5.0
9,Rest,9.4,7.0
9,Rest,9.5,5.0
9,Rest,9.6,2.0
9,Rest,9.7,13.0
9,Rest,9.8,12.0
9,Rest,9.1.1,5.0
9,Rest,9.2.1,0.0
9,Rest,9.3.1,2.0
9,Rest,9.4.1,2.0
9,Rest,9.5.1,3.0
9,Rest,9.6.1,5.0
9,Rest,9.7.1,5.0
9,Rest,Теор,27.0
9,Rest,Прак,25.0
9,Rest,Блиц,22.0
9,MO,№,21.0
9,MO,9.1,1.0
9,MO,9.2,1.0
9,MO,9.3,1.0
9,MO,9.4,9.0
9,MO,9.5,9.0
9,MO,9.6,3.0
9,MO,9.7,11.0
9,MO,9.8,15.0
9,MO,9.1.1,3.0
9,MO,9.2.1,5.0
9,MO,9.3.1,1.0
9,MO,9.4.1,2.0
9,MO,9.5.1,2.0
9,MO,9.6.1,5.0
9,MO,9.7.1,5.0
9,MO,Теор,24.0
9,MO,Прак,26.0
9,MO,Блиц,23.0
9,MO,№,22.0
9,MO,9.1,8.0
9,MO,9.2,6.0
9,MO,9.3,0.0
9,MO,9.4,7.0
9,MO,9.5,0.0
9,MO,9.6,0.0
9,MO,9.7,15.0
9,MO,9.8,14.0
9,MO,9.1.1,2.0
9,MO,9.2.1,5.0
9,MO,9.3.1,3.0
9,MO,9.4.1,2.0
9,MO,9.5.1,2.0
9,MO,9.6.1,4.0
9,MO,9.7.1,5.0
9,MO,Теор,21.0
9,MO,Прак,29.0
9,MO,Блиц,23.0
9,Rest,№,23.0
9,Rest,9.1,1.0
9,Rest,9.2,0.0
9,Rest,9.3,3.0
9,Rest,9.4,9.0
9,Rest,9.5,3.0
9,Rest,9.6,10.0
9,Rest,9.7,13.0
9,Rest,9.8,12.0
9,Rest,9.1.1,3.0
9,Rest,9.2.1,4.0
9,Rest,9.3.1,0.0
9,Rest,9.4.1,2.0
9,Rest,9.5.1,2.0
9,Rest,9.6.1,5.0
9,Rest,9.7.1,5.0
9,Rest,Теор,26.0
9,Rest,Прак,25.0
9,Rest,Блиц,21.0
9,Rest,№,24.0
9,Rest,9.1,9.0
9,Rest,9.2,1.0
9,Rest,9.3,1.0
9,Rest,9.4,7.0
9,Rest,9.5,4.0
9,Rest,9.6,0.0
9,Rest,9.7,14.0
9,Rest,9.8,14.0
9,Rest,9.1.1,4.0
9,Rest,9.2.1,5.0
9,Rest,9.3.1,0.0
9,Rest,9.4.1,2.0
9,Rest,9.5.1,4.0
9,Rest,9.6.1,5.0
9,Rest,9.7.1,2.0
9,Rest,Теор,22.0
9,Rest,Прак,28.0
9,Rest,Блиц,22.0
9,MO,№,25.0
9,MO,9.1,0.0
9,MO,9.2,10.0
9,MO,9.3,0.0
9,MO,9.4,7.0
9,MO,9.5,9.0
9,MO,9.6,9.0
9,MO,9.7,13.0
9,MO,9.8,6.0
9,MO,9.1.1,2.0
9,MO,9.2.1,1.0
9,MO,9.3.1,1.0
9,MO,9.4.1,2.0
9,MO,9.5.1,5.0
9,MO,9.6.1,5.0
9,MO,9.7.1,2.0
9,MO,Теор,35.0
9,MO,Прак,19.0
9,MO,Блиц,18.0
9,MO,№,26.0
9,MO,9.1,1.0
9,MO,9.2,8.0
9,MO,9.3,0.0
9,MO,9.4,6.0
9,MO,9.5,8.0
9,MO,9.6,7.0
9,MO,9.7,10.0
9,MO,9.8,7.0
9,MO,9.1.1,3.0
9,MO,9.2.1,3.0
9,MO,9.3.1,0.0
9,MO,9.4.1,5.0
9,MO,9.5.1,3.0
9,MO,9.6.1,5.0
9,MO,9.7.1,5.0
9,MO,Теор,30.0
9,MO,Прак,17.0
9,MO,Блиц,24.0
9,Rest,№,27.0
9,Rest,9.1,1.0
9,Rest,9.2,0.0
9,Rest,9.3,3.0
9,Rest,9.4,10.0
9,Rest,9.5,6.0
9,Rest,9.6,1.0
9,Rest,9.7,12.0
9,Rest,9.8,13.0
9,Rest,9.1.1,4.0
9,Rest,9.2.1,5.0
9,Rest,9.3.1,3.0
9,Rest,9.4.1,2.0
9,Rest,9.5.1,3.0
9,Rest,9.6.1,4.0
9,Rest,9.7.1,4.0
9,Rest,Теор,21.0
9,Rest,Прак,25.0
9,Rest,Блиц,25.0
9,MO,№,28.0
9,MO,9.1,0.0
9,MO,9.2,1.0
9,MO,9.3,4.0
